B (G),EPR intensity (au),Sim Sum,Sim A,Sim B
3322.807,-0.07453479,0.019060585,0.0089469269,0.010113658
3322.8921,0.030839932,0.019613311,0.0090181233,0.010595188
3322.9773,0.12346034,0.020168821,0.0090900713,0.01107875
3323.0625,-0.099102515,0.020725882,0.0091627808,0.011563101
3323.1476,0.019456442,0.021283284,0.0092362617,0.012047022
3323.2328,0.062888002,0.02183985,0.0093105242,0.012529325
3323.318,0.048194393,0.022394446,0.0093855788,0.013008867
3323.4031,0.017648629,0.022945995,0.0094614358,0.01348456
3323.4883,0.0038700954,0.023493484,0.009538106,0.013955378
3323.5734,0.003273179,0.024035972,0.0096156001,0.014420372
3323.6586,0.14160632,0.024572598,0.0096939293,0.014878669
3323.7438,-0.15198864,0.025102588,0.0097731046,0.015329484
3323.8289,0.0063125574,0.02562526,0.0098531375,0.015772122
3323.9141,-0.0075998413,0.026140024,0.0099340394,0.016205984
3323.9993,0.017710079,0.026646388,0.010015822,0.016630566
3324.0844,-0.054868824,0.02714396,0.010098498,0.017045462
3324.1696,0.073516905,0.02763244,0.010182078,0.017450362
3324.2547,-0.11181812,0.028111628,0.010266575,0.017845053
3324.3399,-0.013163797,0.028581415,0.010352002,0.018229413
3324.4251,-0.039420267,0.02904178,0.010438372,0.018603408
3324.5102,-0.025987399,0.029492787,0.010525697,0.018967091
3324.5954,0.061249851,0.02993458,0.01061399,0.01932059
3324.6806,0.16263277,0.030367372,0.010703264,0.019664107
3324.7657,0.081315233,0.030791445,0.010793534,0.01999791
3324.8509,-0.049590199,0.031207139,0.010884814,0.020322325
3324.936,0.11551516,0.031614845,0.010977116,0.020637729
3325.0212,0.11587313,0.032015,0.011070455,0.020944545
3325.1064,-0.0053323298,0.032408077,0.011164847,0.021243231
3325.1915,0.087919132,0.032794579,0.011260305,0.021534275
3325.2767,0.12698596,0.033175032,0.011356844,0.021818188
3325.3619,0.046104549,0.033549978,0.01145448,0.022095498
3325.447,0.27470556,0.033919969,0.011553228,0.022366741
3325.5322,0.031681248,0.034285563,0.011653104,0.022632459
3325.6173,0.064790099,0.034647315,0.011754124,0.022893191
3325.7025,0.13414555,0.035005776,0.011856305,0.023149472
3325.7877,0.069416659,0.035361487,0.011959662,0.023401825
3325.8728,-0.0032625029,0.035714974,0.012064212,0.023650762
3325.958,0.095760167,0.036066749,0.012169973,0.023896776
3326.0432,0.14194875,0.036417304,0.012276962,0.024140342
3326.1283,0.067454121,0.03676711,0.012385197,0.024381913
3326.2135,0.20592231,0.037116616,0.012494695,0.02462192
3326.2986,0.21755013,0.037466248,0.012605476,0.024860772
3326.3838,0.086525638,0.037816408,0.012717557,0.025098851
3326.469,0.22029638,0.038167474,0.012830958,0.025336516
3326.5541,0.13123066,0.038519799,0.012945698,0.025574101
3326.6393,0.1345602,0.038873715,0.013061796,0.025811919
3326.7245,0.17391402,0.039229528,0.013179273,0.026050255
3326.8096,0.022822483,0.039587525,0.013298148,0.026289377
3326.8948,0.056212471,0.03994797,0.013418443,0.026529527
3326.98,0.22037348,0.040311108,0.013540179,0.026770929
3327.0651,0.28350996,0.040677165,0.013663376,0.02701379
3327.1503,0.046237159,0.041046352,0.013788057,0.027258295
3327.2354,0.31610842,0.041418859,0.013914243,0.027504616
3327.3206,0.16605808,0.041794868,0.014041958,0.02775291
3327.4058,0.11301637,0.042174542,0.014171224,0.028003318
3327.4909,0.20889789,0.042558036,0.014302065,0.02825597
3327.5761,0.18740032,0.042945492,0.014434505,0.028510987
3327.6613,0.15299817,0.043337043,0.014568566,0.028768476
3327.7464,0.17574658,0.043732814,0.014704276,0.029028538
3327.8316,0.11936052,0.044132922,0.014841657,0.029291265
3327.9167,0.29894424,0.044537479,0.014980737,0.029556742
3328.0019,0.2155644,0.04494659,0.01512154,0.02982505
3328.0871,0.16197452,0.045360356,0.015264094,0.030096262
3328.1722,0.14273077,0.045778874,0.015408425,0.030370449
3328.2574,0.14396728,0.046202237,0.015554561,0.030647676
3328.3426,0.25053978,0.046630537,0.01570253,0.030928007
3328.4277,0.12276044,0.047063862,0.01585236,0.031211502
3328.5129,0.059746182,0.047502299,0.01600408,0.031498219
3328.598,0.30920346,0.047945936,0.01615772,0.031788216
3328.6832,0.22024567,0.048394857,0.01631331,0.032081547
3328.7684,0.14596366,0.048849147,0.016470881,0.032378266
3328.8535,0.25615673,0.049308891,0.016630463,0.032678428
3328.9387,0.39242475,0.049774173,0.016792089,0.032982084
3329.0239,0.032699254,0.050245079,0.016955791,0.033289288
3329.109,0.28307752,0.050721694,0.017121602,0.033600092
3329.1942,0.15023074,0.051204104,0.017289555,0.033914549
3329.2793,0.21421075,0.051692396,0.017459686,0.034232711
3329.3645,0.28768064,0.052186659,0.017632028,0.034554631
3329.4497,0.31930179,0.05268698,0.017806617,0.034880363
3329.5348,0.15087857,0.053193451,0.017983491,0.03520996
3329.62,0.17580669,0.053706161,0.018162685,0.035543477
3329.7052,0.039861557,0.054225205,0.018344237,0.035880968
3329.7903,0.20816766,0.054750676,0.018528186,0.036222489
3329.8755,0.30913838,0.055282668,0.018714571,0.036568097
3329.9606,0.29103377,0.05582128,0.018903432,0.036917848
3330.0458,0.059611116,0.056366608,0.019094809,0.037271799
3330.131,0.16976166,0.056918754,0.019288744,0.03763001
3330.2161,0.20049513,0.057477818,0.019485279,0.037992538
3330.3013,0.29340283,0.058043904,0.019684458,0.038359446
3330.3865,0.1859831,0.058617116,0.019886324,0.038730792
3330.4716,0.30191033,0.059197561,0.020090922,0.039106639
3330.5568,0.12333145,0.059785347,0.020298298,0.03948705
3330.6419,0.22962395,0.060380585,0.020508498,0.039872087
3330.7271,0.18865479,0.060983386,0.02072157,0.040261816
3330.8123,0.11383823,0.061593864,0.020937562,0.040656302
3330.8974,0.30992368,0.062212134,0.021156525,0.04105561
3330.9826,0.25733088,0.062838315,0.021378507,0.041459808
3331.0678,0.23864692,0.063472526,0.021603562,0.041868964
3331.1529,0.23242313,0.064114888,0.021831741,0.042283148
3331.2381,0.15898836,0.064765526,0.022063097,0.042702428
3331.3233,0.23810117,0.065424564,0.022297687,0.043126877
3331.4084,0.23589306,0.066092131,0.022535564,0.043556566
3331.4936,0.089827885,0.066768356,0.022776787,0.043991569
3331.5787,0.4437717,0.067453372,0.023021413,0.044431959
3331.6639,0.24470281,0.068147313,0.023269501,0.044877812
3331.7491,0.091809812,0.068850317,0.023521113,0.045329204
3331.8342,0.072892776,0.069562521,0.023776309,0.045786212
3331.9194,0.3552417,0.070284067,0.024035153,0.046248914
3332.0046,0.19046872,0.071015099,0.024297709,0.046717389
3332.0897,0.20632583,0.071755763,0.024564043,0.04719172
3332.1749,0.24602037,0.072506207,0.024834222,0.047671985
3332.26,0.31419771,0.073266583,0.025108314,0.04815827
3332.3452,0.30813329,0.074037045,0.025386389,0.048650656
3332.4304,0.23872728,0.074817748,0.025668518,0.04914923
3332.5155,0.28960664,0.075608852,0.025954775,0.049654077
3332.6007,0.32895576,0.076410517,0.026245233,0.050165284
3332.6859,0.18323849,0.077222909,0.02653997,0.05068294
3332.771,0.20594153,0.078046195,0.026839061,0.051207134
3332.8562,0.21431947,0.078880544,0.027142588,0.051737957
3332.9413,0.25913926,0.07972613,0.02745063,0.0522755
3333.0265,0.17465614,0.080583127,0.02776327,0.052819857
3333.1117,0.19434675,0.081451715,0.028080593,0.053371122
3333.1968,0.32992514,0.082332075,0.028402686,0.053929389
3333.282,0.15088324,0.083224392,0.028729635,0.054494757
3333.3672,0.13704423,0.084128855,0.029061533,0.055067322
3333.4523,0.18085872,0.085045653,0.02939847,0.055647182
3333.5375,0.24949363,0.085974981,0.029740541,0.05623444
3333.6226,0.16944968,0.086917037,0.030087843,0.056829195
3333.7078,0.15242598,0.087872022,0.030440473,0.05743155
3333.793,0.25594703,0.08884014,0.030798531,0.058041608
3333.8781,0.30000596,0.089821598,0.031162122,0.058659476
3333.9633,0.1805441,0.090816607,0.031531349,0.059285258
3334.0485,0.22168343,0.091825383,0.031906321,0.059919062
3334.1336,0.26648284,0.092848143,0.032287146,0.060560997
3334.2188,0.1303825,0.09388511,0.032673938,0.061211172
3334.3039,0.13467671,0.094936508,0.033066811,0.061869697
3334.3891,0.32249399,0.096002568,0.033465882,0.062536685
3334.4743,0.14975308,0.097083522,0.033871272,0.06321225
3334.5594,0.20375394,0.098179607,0.034283103,0.063896504
3334.6446,0.17557633,0.099291065,0.034701501,0.064589563
3334.7298,0.27276416,0.10041814,0.035126595,0.065291545
3334.8149,0.2695201,0.10156108,0.035558515,0.066002566
3334.9001,0.26889178,0.10272014,0.035997397,0.066722745
3334.9852,0.20417478,0.10389558,0.036443378,0.067452201
3335.0704,0.19413322,0.10508765,0.036896598,0.068191056
3335.1556,0.2283089,0.10629663,0.037357202,0.068939431
3335.2407,0.26159526,0.10752278,0.037825337,0.069697448
3335.3259,0.073280807,0.10876639,0.038301154,0.070465232
3335.4111,0.23687782,0.11002771,0.038784807,0.071242906
3335.4962,0.16248472,0.11130705,0.039276455,0.072030596
3335.5814,0.20287783,0.11260469,0.039776258,0.072828429
3335.6666,0.24409929,0.11392091,0.040284383,0.073636531
3335.7517,0.24479561,0.11525603,0.040801,0.07445503
3335.8369,0.16862192,0.11661033,0.041326281,0.075284054
3335.922,0.16081838,0.11798414,0.041860404,0.076123733
3336.0072,0.10724424,0.11937775,0.042403552,0.076974196
3336.0924,0.1251541,0.12079148,0.042955911,0.077835573
3336.1775,0.27672651,0.12222567,0.043517671,0.078707995
3336.2627,0.26132864,0.12368062,0.044089028,0.079591594
3336.3479,0.31096143,0.12515668,0.044670182,0.0804865
3336.433,0.047252232,0.12665418,0.045261339,0.081392845
3336.5182,0.23268791,0.12817347,0.045862707,0.082310762
3336.6033,0.16277697,0.12971488,0.046474504,0.083240381
3336.6885,0.21170387,0.13127878,0.047096948,0.084181835
3336.7737,0.14082689,0.13286552,0.047730267,0.085135255
3336.8588,0.25116257,0.13447546,0.048374691,0.086100774
3336.944,0.18231562,0.13610898,0.049030457,0.087078523
3337.0292,0.19873787,0.13776644,0.04969781,0.088068632
3337.1143,0.31916924,0.13944823,0.050376997,0.089071231
3337.1995,0.32544406,0.14115473,0.051068276,0.090086451
3337.2846,0.19569048,0.14288633,0.051771906,0.09111442
3337.3698,0.17510592,0.14464342,0.052488158,0.092155266
3337.455,0.20644378,0.14642642,0.053217305,0.093209115
3337.5401,0.37476672,0.14823572,0.053959631,0.094276094
3337.6253,0.20604307,0.15007175,0.054715424,0.095356326
3337.7105,0.21914716,0.15193491,0.055484981,0.096449934
3337.7956,0.17500675,0.15382564,0.056268607,0.097557038
3337.8808,0.38347203,0.15574437,0.057066613,0.098677757
3337.9659,0.28079792,0.15769153,0.057879319,0.099812207
3338.0511,0.27822629,0.15966756,0.058707054,0.1009605
3338.1363,0.21875395,0.16167291,0.059550155,0.10212276
3338.2214,0.37840297,0.16370804,0.060408966,0.10329907
3338.3066,0.23406842,0.16577341,0.061283843,0.10448956
3338.3918,0.33236678,0.16786947,0.062175149,0.10569432
3338.4769,0.22304537,0.16999671,0.063083256,0.10691346
3338.5621,0.28994486,0.1721556,0.064008548,0.10814706
3338.6472,0.168714,0.17434663,0.064951418,0.10939521
3338.7324,0.26759066,0.17657028,0.065912269,0.11065801
3338.8176,0.17879521,0.17882704,0.066891514,0.11193553
3338.9027,0.32371518,0.18111742,0.067889578,0.11322785
3338.9879,0.29011197,0.18344193,0.068906898,0.11453503
3339.0731,0.2953279,0.18580107,0.069943921,0.11585715
3339.1582,0.2692073,0.18819537,0.071001107,0.11719426
3339.2434,0.29486505,0.19062534,0.072078926,0.11854642
3339.3285,0.2197974,0.19309152,0.073177864,0.11991366
3339.4137,0.33112215,0.19559443,0.074298417,0.12129602
3339.4989,0.26757193,0.19813463,0.075441098,0.12269353
3339.584,0.27976868,0.20071264,0.076606428,0.12410622
3339.6692,0.12506469,0.20332903,0.077794949,0.12553408
3339.7544,0.34668682,0.20598435,0.079007212,0.12697714
3339.8395,0.27384924,0.20867915,0.080243785,0.12843537
3339.9247,0.23677488,0.21141401,0.081505253,0.12990875
3340.0099,0.2425166,0.21418948,0.082792214,0.13139727
3340.095,0.45029946,0.21700615,0.084105285,0.13290087
3340.1802,0.30886064,0.2198646,0.085445098,0.1344195
3340.2653,0.36503299,0.2227654,0.086812302,0.1359531
3340.3505,0.17408964,0.22570915,0.088207565,0.13750158
3340.4357,0.1560469,0.22869643,0.089631574,0.13906486
3340.5208,0.23879296,0.23172785,0.091085033,0.14064282
3340.606,0.30573778,0.234804,0.092568667,0.14223533
3340.6912,0.29418949,0.23792548,0.094083218,0.14384226
3340.7763,0.30126641,0.2410929,0.095629454,0.14546344
3340.8615,0.20763833,0.24430686,0.097208158,0.14709871
3340.9466,0.28196052,0.24756799,0.098820139,0.14874785
3341.0318,0.2950493,0.2508769,0.10046623,0.15041067
3341.117,0.56527294,0.2542342,0.10214727,0.15208692
3341.2021,0.33534913,0.25764051,0.10386416,0.15377635
3341.2873,0.38192785,0.26109646,0.10561778,0.15547868
3341.3725,0.33027518,0.26460267,0.10740906,0.1571936
3341.4576,0.33273235,0.26815976,0.10923896,0.1589208
3341.5428,0.29573515,0.27176837,0.11110846,0.16065991
3341.6279,0.40957309,0.27542912,0.11301855,0.16241057
3341.7131,0.3605196,0.27914263,0.11497027,0.16417236
3341.7983,0.35157939,0.28290955,0.11696469,0.16594486
3341.8834,0.45928638,0.2867305,0.11900289,0.1677276
3341.9686,0.37534688,0.2906061,0.12108601,0.1695201
3342.0538,0.29484396,0.294537,0.12321518,0.17132182
3342.1389,0.41969478,0.29852382,0.1253916,0.17313222
3342.2241,0.32768558,0.30256718,0.12761648,0.1749507
3342.3092,0.45802083,0.30666773,0.12989108,0.17677665
3342.3944,0.54437713,0.31082608,0.13221669,0.17860939
3342.4796,0.46744361,0.31504286,0.13459461,0.18044825
3342.5647,0.44323124,0.31931869,0.13702622,0.18229248
3342.6499,0.43899581,0.32365421,0.13951291,0.1841413
3342.7351,0.38361121,0.32805002,0.1420561,0.18599391
3342.8202,0.46623724,0.33250674,0.14465728,0.18784946
3342.9054,0.47272966,0.33702499,0.14731796,0.18970703
3342.9905,0.52639335,0.34160539,0.15003969,0.1915657
3343.0757,0.50949072,0.34624854,0.15282407,0.19342447
3343.1609,0.34122684,0.35095504,0.15567273,0.19528231
3343.246,0.5501028,0.35572551,0.15858736,0.19713815
3343.3312,0.58508199,0.36056054,0.16156969,0.19899084
3343.4164,0.30942484,0.36546072,0.16462149,0.20083923
3343.5015,0.42548165,0.37042665,0.16774458,0.20268208
3343.5867,0.52882068,0.37545892,0.17094082,0.20451811
3343.6718,0.46460652,0.38055812,0.17421213,0.20634598
3343.757,0.46720759,0.38572481,0.17756049,0.20816433
3343.8422,0.59635128,0.39095959,0.18098789,0.2099717
3343.9273,0.59927998,0.39626302,0.18449642,0.2117666
3344.0125,0.47574746,0.40163567,0.18808817,0.2135475
3344.0977,0.57217039,0.40707811,0.19176534,0.21531277
3344.1828,0.4909856,0.41259089,0.19553012,0.21706077
3344.268,0.53320023,0.41817458,0.19938481,0.21878976
3344.3532,0.51332512,0.42382972,0.20333173,0.22049799
3344.4383,0.31969492,0.42955687,0.20737326,0.22218361
3344.5235,0.61883706,0.43535656,0.21151183,0.22384473
3344.6086,0.48559065,0.44122935,0.21574995,0.2254794
3344.6938,0.67672769,0.44717577,0.22009015,0.22708561
3344.779,0.56155138,0.45319634,0.22453503,0.22866131
3344.8641,0.51876738,0.45929161,0.22908725,0.23020435
3344.9493,0.6244918,0.46546208,0.23374951,0.23171257
3345.0345,0.49059643,0.4717083,0.23852457,0.23318373
3345.1196,0.54375262,0.47803076,0.24341523,0.23461553
3345.2048,0.64069803,0.48442998,0.24842436,0.23600563
3345.2899,0.65661676,0.49090647,0.25355485,0.23735162
3345.3751,0.54928969,0.49746073,0.25880968,0.23865105
3345.4603,0.63743121,0.50409324,0.26419182,0.23990142
3345.5454,0.55287791,0.51080449,0.26970432,0.24110017
3345.6306,0.62618322,0.51759495,0.27535025,0.24224471
3345.7158,0.70442083,0.5244651,0.28113272,0.24333238
3345.8009,0.61897288,0.53141538,0.28705488,0.2443605
3345.8861,0.4205502,0.53844623,0.29311989,0.24532633
3345.9712,0.65758884,0.54555806,0.29933094,0.24622713
3346.0564,0.62560807,0.55275129,0.30569122,0.24706007
3346.1416,0.69082007,0.56002629,0.31220395,0.24782234
3346.2267,0.71089572,0.5673834,0.31887233,0.24851107
3346.3119,0.59408468,0.57482295,0.32569957,0.24912339
3346.3971,0.55306318,0.58234522,0.33268884,0.24965638
3346.4822,0.67003218,0.58995044,0.33984329,0.25010714
3346.5674,0.63340754,0.59763879,0.34716605,0.25047274
3346.6525,0.66037008,0.60541042,0.35466017,0.25075025
3346.7377,0.58762291,0.61326537,0.36232864,0.25093673
3346.8229,0.78591278,0.62120362,0.37017438,0.25102925
3346.908,0.51622251,0.62922508,0.37820019,0.25102489
3346.9932,0.69680162,0.63732953,0.38640876,0.25092076
3347.0784,0.69461891,0.64551664,0.39480266,0.25071398
3347.1635,0.70552421,0.65378595,0.40338426,0.25040168
3347.2487,0.74733686,0.66213685,0.41215578,0.24998107
3347.3338,0.63892817,0.67056856,0.42111921,0.24944936
3347.419,0.73269021,0.67908011,0.43027628,0.24880382
3347.5042,0.69984415,0.68767028,0.43962849,0.24804179
3347.5893,0.69889606,0.69633765,0.44917698,0.24716067
3347.6745,0.70364923,0.70508049,0.45892258,0.2461579
3347.7597,0.7110675,0.71389677,0.46886572,0.24503105
3347.8448,0.82606912,0.72278413,0.47900641,0.24377773
3347.93,0.81968897,0.73173981,0.48934415,0.24239566
3348.0151,0.84027158,0.74076062,0.49987795,0.24088267
3348.1003,0.86390995,0.74984291,0.51060622,0.23923669
3348.1855,0.83071728,0.75898249,0.52152672,0.23745577
3348.2706,0.67257906,0.76817459,0.53263651,0.23553808
3348.3558,0.7867993,0.77741383,0.54393189,0.23348193
3348.441,0.90325654,0.78669407,0.5554083,0.23128577
3348.5261,0.72846492,0.79600846,0.56706027,0.22894819
3348.6113,0.87528911,0.80534926,0.57888132,0.22646794
3348.6965,0.82645728,0.81470783,0.59086388,0.22384394
3348.7816,0.83529696,0.8240745,0.60299923,0.22107528
3348.8668,0.87259254,0.83343853,0.61527733,0.2181612
3348.9519,1.0195497,0.84278798,0.6276868,0.21510118
3349.0371,0.97340409,0.8521096,0.64021477,0.21189483
3349.1223,1.0572382,0.86138879,0.65284679,0.208542
3349.2074,0.90391386,0.8706094,0.66556668,0.20504272
3349.2926,1.0094415,0.8797537,0.67835646,0.20139724
3349.3778,1.0932719,0.88880223,0.69119621,0.19760602
3349.4629,0.9599187,0.89773366,0.70406393,0.19366973
3349.5481,0.88174554,0.90652471,0.71693543,0.18958928
3349.6332,1.1001591,0.91514998,0.7297842,0.18536577
3349.7184,1.0682559,0.92358186,0.74258129,0.18100058
3349.8036,0.95131186,0.93179042,0.75529515,0.17649527
3349.8887,0.88664869,0.93974321,0.76789155,0.17185166
3349.9739,1.1328275,0.94740524,0.78033345,0.16707179
3350.0591,1.2,0.95473881,0.79258085,0.16215796
3350.1442,1.0807175,0.9617034,0.80459072,0.15711268
3350.2294,1.1350871,0.96825561,0.81631692,0.15193869
3350.3145,1.0991621,0.97434905,0.82771007,0.14663898
3350.3997,0.83554075,0.97993429,0.83871754,0.14121675
3350.4849,0.94844706,0.9849588,0.84928335,0.13567546
3350.57,1.0870022,0.98936695,0.8593482,0.13001875
3350.6552,0.94758328,0.99309999,0.86884947,0.12425052
3350.7404,1.0591619,0.99609608,0.87772123,0.11837485
3350.8255,1.0737662,0.9982904,0.88589433,0.11239606
3350.9107,0.94723279,0.99961519,0.89329654,0.10631865
3350.9958,1.0157924,1,0.89985267,0.10014733
3351.081,1.0528786,0.99937179,0.90548481,0.093886979
3351.1662,1.0376336,0.99765527,0.91011259,0.087542679
3351.2513,1.0408847,0.99477314,0.91365347,0.081119669
3351.3365,1.0056939,0.99064654,0.91602319,0.074623354
3351.4217,1.0260692,0.98519543,0.91713614,0.068059287
3351.5068,0.87393644,0.97833912,0.91690596,0.061433165
3351.592,0.87272347,0.96999686,0.91524605,0.054750813
3351.6771,0.96403956,0.96008848,0.9120703,0.048018174
3351.7623,0.78970827,0.94853508,0.90729378,0.041241298
3351.8475,1.1445423,0.93525986,0.90083353,0.034426328
3351.9326,1.0387257,0.92018896,0.89260948,0.027579488
3352.0178,0.78832712,0.90325237,0.88254531,0.020707069
3352.103,0.83163053,0.8843849,0.87056948,0.013815418
3352.1881,1.0298113,0.86352718,0.85661626,0.0069109237
3352.2733,0.74618663,0.84062674,0.84062674,-1.2177779E-17
3352.3584,0.79653229,0.81563902,0.82254994,-0.0069109237
3352.4436,0.72974177,0.78852851,0.80234392,-0.013815418
3352.5288,0.79207471,0.75926974,0.77997681,-0.020707069
3352.6139,0.74014648,0.72784835,0.75542783,-0.027579488
3352.6991,0.71433207,0.69426203,0.72868836,-0.034426328
3352.7843,0.55375886,0.65852144,0.69976274,-0.041241298
3352.8694,0.50546303,0.62065099,0.66866917,-0.048018174
3352.9546,0.57772912,0.58068951,0.63544032,-0.054750813
3353.0398,0.5857029,0.53869078,0.60012394,-0.061433165
3353.1249,0.45489387,0.49472392,0.5627832,-0.068059287
3353.2101,0.2012195,0.44887354,0.52349689,-0.074623354
3353.2952,0.38656566,0.40123975,0.48235942,-0.081119669
3353.3804,0.33412842,0.3519379,0.43948058,-0.087542679
3353.4656,0.26917736,0.30109815,0.39498513,-0.093886979
3353.5507,0.30201916,0.2488648,0.34901213,-0.10014733
3353.6359,0.26144462,0.19539535,0.301714,-0.10631865
3353.7211,0.0037062647,0.1408594,0.25325546,-0.11239606
3353.8062,-0.0044577591,0.085437337,0.20381219,-0.11837485
3353.8914,-0.030511613,0.029318799,0.15356932,-0.12425052
3353.9765,-0.21820247,-0.027299005,0.10271975,-0.13001875
3354.0617,-0.063942121,-0.084213116,0.051462341,-0.13567546
3354.1469,-0.4474216,-0.14121675,5.8018579E-17,-0.14121675
3354.232,-0.40383149,-0.19810132,-0.051462341,-0.14663898
3354.3172,-0.34963257,-0.25465843,-0.10271975,-0.15193869
3354.4024,-0.19144906,-0.310682,-0.15356932,-0.15711268
3354.4875,-0.6397891,-0.36597015,-0.20381219,-0.16215796
3354.5727,-0.42500221,-0.42032725,-0.25325546,-0.16707179
3354.6578,-0.67935986,-0.47356565,-0.301714,-0.17185166
3354.743,-0.47220676,-0.52550739,-0.34901213,-0.17649527
3354.8282,-0.58696152,-0.57598571,-0.39498513,-0.18100058
3354.9133,-0.70102197,-0.62484635,-0.43948058,-0.18536577
3354.9985,-0.77326467,-0.67194869,-0.48235942,-0.18958928
3355.0837,-0.72051027,-0.71716663,-0.52349689,-0.19366973
3355.1688,-0.74751538,-0.76038923,-0.5627832,-0.19760602
3355.254,-0.75649772,-0.80152119,-0.60012394,-0.20139724
3355.3391,-0.80394622,-0.84048304,-0.63544032,-0.20504272
3355.4243,-0.86724382,-0.87721117,-0.66866917,-0.208542
3355.5095,-0.80205758,-0.91165757,-0.69976274,-0.21189483
3355.5946,-0.79490155,-0.94378953,-0.72868836,-0.21510118
3355.6798,-0.91178066,-0.97358904,-0.75542783,-0.2181612
3355.765,-0.90287622,-1.0010521,-0.77997681,-0.22107528
3355.8501,-1.0435158,-1.0261879,-0.80234392,-0.22384394
3355.9353,-0.94501712,-1.0490179,-0.82254994,-0.22646794
3356.0204,-1.0309598,-1.0695749,-0.84062674,-0.22894819
3356.1056,-0.97944448,-1.087902,-0.85661626,-0.23128577
3356.1908,-0.85886923,-1.1040514,-0.87056948,-0.23348193
3356.2759,-1.1721455,-1.1180834,-0.88254531,-0.23553808
3356.3611,-0.93153362,-1.1300652,-0.89260948,-0.23745577
3356.4463,-1.0403726,-1.1400702,-0.90083353,-0.23923669
3356.5314,-0.94539783,-1.1481764,-0.90729378,-0.24088267
3356.6166,-1.0711985,-1.154466,-0.9120703,-0.24239566
3356.7017,-1.0812348,-1.1590238,-0.91524605,-0.24377773
3356.7869,-1.1400166,-1.161937,-0.91690596,-0.24503105
3356.8721,-1.173008,-1.163294,-0.91713614,-0.2461579
3356.9572,-1.0384466,-1.1631839,-0.91602319,-0.24716067
3357.0424,-1.1156189,-1.1616953,-0.91365347,-0.24804179
3357.1276,-1.0684488,-1.1589164,-0.91011259,-0.24880382
3357.2127,-1.1847472,-1.1549342,-0.90548481,-0.24944936
3357.2979,-1.2128451,-1.1498337,-0.89985267,-0.24998107
3357.3831,-1.1781422,-1.1436982,-0.89329654,-0.25040168
3357.4682,-1.2075595,-1.1366083,-0.88589433,-0.25071398
3357.5534,-1.137985,-1.128642,-0.87772123,-0.25092076
3357.6385,-1.1789907,-1.1198744,-0.86884947,-0.25102489
3357.7237,-1.1145389,-1.1103774,-0.8593482,-0.25102925
3357.8089,-1.2271347,-1.1002201,-0.84928335,-0.25093673
3357.894,-1.2940171,-1.0894678,-0.83871754,-0.25075025
3357.9792,-1.2238946,-1.0781828,-0.82771007,-0.25047274
3358.0644,-1.1075066,-1.0664241,-0.81631692,-0.25010714
